Power,Electricity
H2,Hydrogen
Gas_Natural,Gas|Fossil
Area_Rooftop_Commercial,Area Commercial Rooftop
Area_Rooftop_Residential,Area Residential Rooftop
Biomass,Biomass
Hardcoal,Coal|Hard coal
Nuclear,Nuclear
Oil,Oil
Mobility_Freight,Transportation|Freight
Mobility_Passenger,Transportation|Passenger
Lignite,Coal|Lignite
Gas_Bio,Gas|Biomethane
Gas_Synth,Gas|Synthetic Methane
Heat_Buildings,Heat|Residential and Commercial
Heat_Low_Industry,Heat|Industry|Low Temperature
Heat_MediumLow_Industry,Heat|Industry|Medium Low Temperature
Heat_MediumHigh_Industry,Heat|Industry|Medium High Temperature
Heat_High_Industry,Heat|Industry|High Temperature
Biofuel,Biofuel
Powerfuel,E-Fuel
LNG,LNG
LBG,LBG
LSG,LSG
LH2,LH2
Air,Air
DAC_Dummy,DAC
ETS,ETS|Buyer
ETS_Source,ETS|Source
Heat_District,Heat|District Heating
