Z_Import_Oil,Import|Oil
S_Battery_Li-Ion,Electricity|Electricity Storage|Lithium-Ion
S_Battery_Redox,Electricity|Electricity Storage|Redox Flow
S_CAES,Electricity|Electricity Storage|Compressed Air
S_Gas_H2,Energy Storage|Hydrogen|Salt Cavern
S_Gas_Methane,Energy Storage|Methane|Salt Cavern
S_HLI_Tank_Large,Heat|Energy Storage|Large Water Tank
S_HB_Tank_Small,Heat|Energy Storage|Small Water Tank
S_PHS,Electricity|Electricity Storage|Pumped Storage
S_HD_Pit,Heat|Energy Storage|Water Pit
