#CHP_Coal_Hardcoal,Heat|Residential and Commercial|Coal|Hard Coal|w/o CCS
#CHP_Coal_Hardcoal_CCS,Heat|Residential and Commercial|Coal|Hard Coal|w/ CCS
#CHP_Coal_Lignite,Heat|Residential and Commercial|Coal|Lignite|w/o CCS
#CHP_Coal_Lignite_CCS,Heat|Residential and Commercial|Coal|Lignite|w/ CCS
#CHP_Oil,Heat|Residential and Commercial|Oil|w/o CCS
#CHP_Hydrogen_FuelCell,Heat|Residential and Commercial|Hydrogen|Fuel Cell
P_Gas_CCGT,Electricity|Gas|CCGT|w/o CCS
P_Gas_Engines,Electricity|Gas|w/o CCS
P_Gas_OCGT,Electricity|Gas|OCGT|w/o CCS
P_Gas_CCS,Electricity|Gas|w/ CCS
HMHI_H2,Heat|Industry|Hydrogen
